id,CPUUsage,RAMUsage,DownloadSpeed,UploadSpeed,Temperature,Humidity,Class
917,14.7,81,140.2064885,89.19584287,29.25862122,59.48609924,0
918,14.9,81.5,151.4120533,110.581153,29.4396553,59.30456924,0
919,14.2,76.7,169.5218784,86.1678472,29.42155266,59.31395721,0
920,13.8,73.4,143.511434,89.47348021,29.5482769,58.91333771,0
921,14.4,73.6,149.1577194,88.27812638,29.5120697,59.21067429,0
922,13.1,73,164.0528037,85.42207011,29.62068939,58.94464111,0
923,12.7,73.3,151.0781137,89.99713477,29.07758713,59.20441437,0
924,15.7,73.5,146.8086863,86.68769723,29.02327728,59.44541168,0
925,16.4,73.8,149.0750408,83.11246357,28.93275833,59.69892883,0
926,17.4,74.2,146.2308499,91.29243719,28.95086288,59.32647705,0
927,21.5,73.8,49.98512496,1.635368276,29.04137993,59.2701416,0
928,14.6,71.9,164.0212622,88.06642291,29.04137993,59.34212494,0
929,16,71.4,163.7785709,90.46932025,29.53017426,59.69579697,0
930,15.5,71.4,159.0830033,88.47074202,29.60258675,60.11832428,0
931,18.5,72.1,176.6375458,87.15689917,29.47586441,60.02755737,0
932,14.1,71.5,154.2198837,85.14068121,30.36293221,64.20587921,0
933,17.5,71.8,147.0713058,1.698228947,30.3991394,63.92106628,0
934,16.8,72.2,153.7549394,91.39993867,30.3991394,63.20746613,0
935,16.9,72.3,157.5025497,90.61551223,30.48965645,63.67067719,0
936,15.7,71.5,143.2103958,88.60404704,30.32672501,63.7144928,0
937,15.1,71.7,132.6167205,90.5192213,30.30862045,64.50008392,0
938,13.8,71.7,125.0889743,89.94619634,29.81982803,63.37334442,0
939,16.3,71.8,123.8676252,86.12280169,29.72931099,63.31074524,0
940,14.2,72,165.5977013,89.07615812,29.67500114,63.44845581,0
941,16.8,72.3,98.91100611,2.158104281,29.76551819,62.96020508,0
942,18.6,72.8,154.7000876,85.60325195,29.72931099,63.1855545,0
943,15.7,72.8,147.1895846,88.6979592,29.6568985,63.09165955,0
944,16.6,72.8,122.5294802,91.3236697,29.92844963,61.46102142,0
945,15.2,73.1,124.4806421,89.20457938,29.92844963,61.40781403,0
946,16,73.6,151.2051169,88.80493066,29.83793259,61.53613281,0
947,18.5,73.9,86.80282209,1.652177489,29.87413788,61.52674866,0
948,16.4,74.7,157.9457771,69.06140872,29.91034698,61.39216232,0
949,15.8,74.4,164.8886884,92.40099789,29.91034698,61.70514679,0
950,16.3,69.3,186.6292254,101.8072003,29.49396515,61.97743988,0
951,13,68.5,146.4944648,113.8309747,29.69310379,61.91171265,0
952,13.7,68.5,171.2965576,97.08901767,29.6568985,61.82720947,0
953,14.2,68.7,117.4492761,2.211521609,29.76551819,61.83972931,0
954,13.2,69,181.7382342,130.3473992,29.81982803,61.67071533,0
955,13.4,69.5,158.6197005,90.08597605,29.89224243,61.60186005,0
956,13.5,69.4,174.3572785,107.0080023,29.45775986,61.4391098,0
957,16.4,69.7,176.3205363,87.47190214,29.33103561,61.26071167,0
958,14.2,69.8,139.7049744,91.42696986,29.33103561,61.48918915,0
959,16.7,70.1,146.1883028,90.79348769,29.33103561,61.2575798,0
960,15.1,70.4,139.2169122,1.861226237,29.34914017,61.5455246,0
961,14.3,70.6,150.1123293,90.41614632,29.36724281,61.52674866,0
962,13.8,70.8,130.4454228,110.9864093,29.96465683,60.06198883,0
963,15,70.5,169.2571272,84.57018745,30.00086212,60.48138428,0
964,16,70.7,147.0459903,88.34845712,29.83793259,60.2529068,0
965,13.5,70.9,142.3199328,92.59783852,29.87413788,60.24664688,0
966,14.7,71.1,134.4587939,93.81402235,29.87413788,60.28107452,0
967,14.2,71.2,124.5571908,93.53737698,29.89224243,60.16213989,0
968,13.6,71.7,117.6185352,91.02501261,29.5844841,60.61909485,0
969,12.6,71.8,128.0116892,88.88701253,29.53017426,60.40939713,0
970,15.3,71.8,150.4268545,89.09651264,29.36724281,60.57840729,0
971,24.1,73.8,139.2737039,91.34751459,29.45775986,60.70360184,0
972,16.7,74,105.7993597,86.87335292,29.5120697,60.47199249,0
973,15.2,74.1,121.3541732,85.48952025,29.47586441,60.54084778,0
974,15,72.8,134.6021318,101.0384193,29.67500114,59.62068176,0
975,16.5,72.9,140.8180979,88.29274772,29.78362274,59.86793518,0
976,18.3,73.2,121.0906985,92.20302208,29.62068939,59.78969193,0
977,19.1,73.4,154.1193323,95.96654125,29.53017426,59.90862274,0
978,15,73.4,184.9095653,116.0355429,29.5120697,59.8898468,0
979,14.9,73.7,129.2117772,94.1048475,29.4396553,60.00564957,0
980,15.7,74.1,232.361588,118.3497572,29.20431137,60.76306915,0
981,18.6,73.6,197.2011549,126.9097377,29.33103561,60.54084778,0
982,22.2,74.1,183.4785696,130.5852857,29.47586441,60.5627594,0
983,23.4,75.2,230.7655167,115.5659963,29.47586441,60.41252899,0
984,17.9,75,197.0860106,93.53103914,29.62068939,60.27794647,0
985,21.3,76.5,168.6644122,90.842432,29.69310379,59.9493103,0
986,21.5,77.2,145.7600285,89.81173121,29.36724281,60.0025177,0
987,21.1,77.2,129.6696382,88.76134663,29.38534546,59.78030396,0
988,18.9,76.6,120.5498862,89.86735339,29.27672577,59.88045502,0
989,22,76.9,139.2579822,86.19331644,29.29482841,59.23258209,0
990,17.5,77.9,157.9941648,92.02060858,29.25862122,60.03694916,0
991,21.6,78.2,132.8302296,85.77966512,29.29482841,60.0025177,0
992,15,78.1,152.4560481,88.23016299,29.67500114,59.77717209,0
993,18,78.6,134.9944892,85.76229661,29.6568985,59.56747437,0
994,17.4,79.6,132.9213557,89.24770763,29.69310379,59.57060242,0
995,18.5,79.5,91.12610757,88.18541342,29.80172539,59.10112762,0
996,16.4,80,137.4566429,91.47449196,29.74741364,59.36716461,0
997,14.5,80.3,127.3808443,90.97361652,29.81982803,59.16685486,0
998,17.4,80.3,128.9607805,90.58958059,29.18620682,59.78969193,0
999,14,80.5,123.6433248,85.44699978,29.09569168,59.69892883,0
1000,21.3,80.6,121.1562117,85.16840015,29.18620682,59.86793518,0
1001,21.7,81.6,100.0306092,86.89772399,29.15000153,59.97122192,0
1002,15.8,81.1,117.036066,100.5590448,29.05948257,59.85228729,0
1003,19,81.3,121.6047826,95.8627728,29.02327728,59.74900436,0
1004,15.1,81.4,85.74948037,95.34426607,29.60258675,58.99471664,0
